topic,file,title,year,status,doi_or_identifier,source_url,sha256
Ear-EEG foundations and stimulus,01_Ear_EEG_Foundations_and_Stimulus/Kidmose_2013_Evoked_Potentials_From_Ear_EEG.pdf,A Study of Evoked Potentials From Ear-EEG,2013,Peer reviewed,10.1109/TBME.2013.2264956,https://www.commsp.ee.ic.ac.uk/~mandic/research/EEG_BCI/PK_DPM_Ear_EEG_ERP_IEEE_TBME_2013.pdf,eea2278b1a4a7df891a06cbfa68dfddf6bd783e1171d1bf03aca10fe1f40afc6
Ear-EEG foundations and stimulus,01_Ear_EEG_Foundations_and_Stimulus/Mikkelsen_2015_Characterizing_Ear_EEG.pdf,EEG Recorded from the Ear: Characterizing the Ear-EEG Method,2015,Peer reviewed,10.3389/fnins.2015.00438,https://www.frontiersin.org/journals/neuroscience/articles/10.3389/fnins.2015.00438/pdf,06de0070ae8226fe6b9594542799aad26c1305c3d759b88fa850a0fe3a97a19f
Ear-EEG foundations and stimulus,01_Ear_EEG_Foundations_and_Stimulus/Kaveh_2020_Wireless_User_Generic_Ear_EEG.pdf,Wireless User-Generic Ear EEG,2020,Peer reviewed,10.1109/TBCAS.2020.3001265,https://static1.squarespace.com/static/5e6182846045f5262981145a/t/6014928be733da5a2b70d464/1749077259141/EarEEG_TBioCAS_2020.pdf,1c839e875fa361c0952c34cf8514ff01b53057689e2458908c3d7af4bbe82317
Ear-EEG foundations and stimulus,01_Ear_EEG_Foundations_and_Stimulus/Earable_2026_Simultaneous_EEG_and_Auditory_Stimulation_PREPRINT.pdf,Earable Platform with Integrated Simultaneous EEG Sensing and Auditory Stimulation,2026,Preprint - not peer reviewed,arXiv:2604.22137,https://arxiv.org/pdf/2604.22137,f32ab8e395d737d618f065e5e48ddd26bbdae2be613886aabb74a7f911798cd8
Seizure detection,02_Seizure_Detection/Joyner_2024_Standalone_Ear_EEG_Seizure_Detection.pdf,Using a standalone ear-EEG device for focal-onset seizure detection,2024,Peer reviewed,10.1186/s42234-023-00135-0,https://bioelecmed.biomedcentral.com/counter/pdf/10.1186/s42234-023-00135-0,9b074d68bdceab3543ba09af236c45ec04ce6c7eab4672a4c6b83cbaa9d4a81c
Seizure detection,02_Seizure_Detection/Zibrandtsen_2017_Ear_EEG_vs_Scalp_EEG_Epilepsy.pdf,Ear-EEG detects ictal and interictal abnormalities in focal and generalized epilepsy - A comparison with scalp EEG monitoring,2017,Peer reviewed,10.1016/j.clinph.2017.09.115,https://curis.ku.dk/ws/files/188486884/1_s2.0_S1388245717310763_main.pdf,d36bbfac73a3cb83e44f22485290a0a68e4439b66fe4f46156cdfe2da7fe5498
Seizure detection,02_Seizure_Detection/Zibrandtsen_2018_GTCS_Detection_From_Ear_EEG.pdf,Detection of generalized tonic-clonic seizures from ear-EEG based on EMG analysis,2018,Peer reviewed,10.1016/j.seizure.2018.05.001,https://www.seizure-journal.com/action/showPdf?pii=S1059-1311%2818%2930094-3,be304af4868c58120da09067eb71cac34f473c6915d3f394ef28a2b2123073f4
Coma and outcome ML,03_Coma_and_Outcome_ML/Aellen_2023_Auditory_Stimulation_Deep_Learning_Coma.pdf,Auditory stimulation and deep learning predict awakening from coma after cardiac arrest,2023,Peer reviewed,10.1093/brain/awac340,https://iris.unil.ch/bitstreams/cc73c2f3-58dc-4fcd-9236-ae87dc78f889/download,3169da39443d85bf26c9ba7fea7fec980f753f5dea9bb86d9c75e276cb1712d3
Coma and outcome ML,03_Coma_and_Outcome_ML/Zheng_2022_EEG_Dynamics_Deep_Learning_Coma.pdf,Predicting Neurological Outcome From Electroencephalogram Dynamics in Comatose Patients After Cardiac Arrest With Deep Learning,2022,Peer reviewed,10.1109/TBME.2021.3139007,https://ris.utwente.nl/ws/files/275752653/Predicting_Neurological_Outcome_from_Electroencephalogram_Dynamics_in_Comatose_Patients_after_Cardiac_Arrest_with_Deep_Learning.pdf,ee957db2f82d3b358118f7204dda9b5a6e1baf6322df3b728b5ee6b57ce7a33a
Coma and outcome ML,03_Coma_and_Outcome_ML/Tjepkema_2019_Outcome_Prediction_Postanoxic_Coma_Deep_Learning.pdf,Outcome Prediction in Postanoxic Coma With Deep Learning,2019,Peer reviewed,10.1097/CCM.0000000000003854,https://ris.utwente.nl/ws/portalfiles/portal/147326006/Outcome_Prediction_in_Postanoxic_Coma_With_Deep.19.pdf,c4ee947f9f71ce09504eb3cc6e246b35afdea32b33b54de8fe5b9a43913f389d
Coma and outcome ML,03_Coma_and_Outcome_ML/I_CARE_2023_EEG_Database_Paper.pdf,The International Cardiac Arrest Research Consortium Electroencephalography Database,2023,Peer reviewed,10.1097/CCM.0000000000006074,https://ris.utwente.nl/ws/portalfiles/portal/331834392/the_international_cardiac_arrest_research.16.pdf,3b1c5463fbcf5bb23df67c13185c5102a3af8dfb40a738cd8bae09264913067a
Clinical safety and guidelines,04_Clinical_Safety_and_Guidelines/AAN_2023_Brain_Death_Consensus_Guideline.pdf,Pediatric and Adult Brain Death/Death by Neurologic Criteria Consensus Guideline,2023,Consensus clinical guideline,10.1212/WNL.0000000000207740,https://www.donoralliance.org/wp-content/uploads/2024/02/UPDATED-Pediatric-and-Adult-Brain-Death-Death-by-Neurologic-Criteria-Consensus-Guideline-AAN-Greer-Neurology-2023.pdf,3807595072f3f65ff94729322d2097f377662b71eb088307179d800f11677fda
